Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Barrique Sauvignon Blanc 2015,New Zealand,Marlborough,Saint Clair,4.0,27,18.95,2015,White,42.8208653,-82.486024
Markus Pfaffmann Sauvignon Blanc Trocken 2019,Germany,Pfalz,Karl Pfaffmann,4.1,27,7.5,2019,White,49.2346244,8.1198316
Ritterpfad Riesling Kabinett 2015,Germany,Mosel,Van Volxem,4.0,27,17.95,2015,White,49.6427945,6.5787574
Catarratto - Zibibbo 2019,Italy,Terre Siciliane,Vaccaro,4.0,27,7.31,2019,White,41.1519317,-81.63385
FreundstÃ¼ck GG 2017,Germany,Pfalz,Georg Mosbacher,4.1,27,28.24,2017,White,49.4232231,8.1898981
Graacher Himmelreich Riesling Auslese 2016,Germany,Graach,Joh. Jos. PrÃ¼m,4.1,27,32.65,2016,White,49.941491,7.0459825
HÃ¶llberg Riesling GG 2017,Germany,Rheinhessen,Wagner-Stempel,4.0,27,37.56,2017,White,49.79729,7.95609
Forster Ungeheuer Riesling 2018,Germany,Pfalz,Von Winning,4.3,27,35.0,2018,White,49.4106226,8.1863799
CÃ  del Lago Lugana 2019,Italy,Lugana,Villabella,4.0,27,9.83,2019,White,38.7881393,-77.3013687
Hard 2017,Germany,Baden,Ziereisen,4.3,27,26.5,2017,White,47.6547677,7.5591644
WÃ¼rzburger Stein Silvaner GG 2016,Germany,Franken,Juliusspital,4.0,27,29.9,2016,White,49.7978083,9.9312636
Paradies Riesling 2018,Germany,Nahe,Korrell,4.1,27,22.7,2018,White,49.8441406,7.9146891
Ungeheuer Riesling GG 2018,Germany,Pfalz,Dr. Von Bassermann-Jordan,4.2,28,34.12,2018,White,49.4081542,8.1857663
Kastanienbusch GG 2018,Germany,Pfalz,Ã–konomierat Rebholz,4.2,28,66.31,2018,White,49.2091692,8.0507121
Chinon Blanc 2017,France,Chinon,ChÃ¢teau de Saint Louans,4.2,28,27.29,2017,White,47.1719409,0.21637
Rotenberg GG 2016,Germany,Nahe,Gut Hermannsberg,4.0,28,29.5,2016,White,49.7961111,7.7583333
Riesling Alsace Grand Cru 'Geisberg' 2012,France,Alsace Grand Cru 'Geisberg',Trimbach,4.4,28,53.35,2012,White,48.1944177,7.3254174
