Name,Country,Region,Winery,Rating,NumberOfRatings,Price,Year,Type,latitude,longitude
Tom Cullity Cabernet Sauvignon - Malbec 2014,Australia,Margaret River,Vasse Felix,4.2,246,115.0,2014,Red,-33.82251189999999,115.0376913
Saint-Émilion Grand Cru (Grand Cru Classé) 2005,France,Saint-Émilion Grand Cru,Château Chauvin,4.0,246,49.95,2005,Red,44.9172079,-0.1691881
Mas La Plana Cabernet Sauvignon 2002,Spain,Penedès,Torres,4.3,246,46.29,2002,Red,44.9172079,-0.1691881
Pinotage 2018,South Africa,Stellenbosch,Neethlingshof Estate,4.0,246,10.23,2018,Red,-33.9420597,18.801713
Kai Carmenère 2011,Chile,Aconcagua Valley,Errazuriz,4.4,246,121.75,2011,Red,-33.9420597,18.801713
Amarone della Valpolicella 2013,Italy,Amarone della Valpolicella,Costa Arente,4.5,246,62.88,2013,Red,45.52191029999999,11.0282144
Equinox Red (Organic) 2017,United States,California,Bonterra,3.6,246,16.95,2017,Red,35.14666,-80.82736650000001
Saintes Pierres de Nalys Châteauneuf-du-Pape Rouge 2016,France,Châteauneuf-du-Pape,Château de Nalys,4.1,246,34.02,2016,Red,44.0675327,4.8502867
Haut-Médoc 2011,France,Haut-Médoc,Château Saint-Ahon,3.9,246,16.47,2011,Red,44.9275384,-0.6319041999999999
Rioja Gran Reserva Sélección Especial 2001,Spain,Rioja,Montecillo,4.0,246,63.05,2001,Red,31.8102318,-106.5134646
Aruma Malbec 2016,Argentina,Mendoza,Caro (Catena and Rothschild),3.6,2461,10.91,2016,Red,31.8102318,-106.5134646
La Montesa 2013,Spain,Rioja,Palacios Remondo,3.7,2468,13.95,2013,Red,31.8102318,-106.5134646
Reserva 2011,Spain,Rioja,Hacienda el Ternero,3.9,247,22.9,2011,Red,42.6031787,-2.9375164
Paolo e Carlo Malvasia Nera 66 Sessantasei Limited Edition 2015,Italy,Veneto,Conte di Campiano,4.1,247,7.9,2015,Red,42.6031787,-2.9375164
Spätburgunder 2017,Germany,Ahr,Meyer - Näkel,3.7,247,14.5,2017,Red,50.5361439,7.044255799999999
Lagrein Riserva Gries 2017,Italy,Südtirol - Alto Adige,Terlan (Terlano),4.1,247,18.5,2017,Red,46.5293309,11.2484293
Swinto Old Vine Malbec 2013,Argentina,Lujan de Cuyo,Belasco de Baquedano,4.2,247,31.57,2013,Red,-33.1182775,-68.9167739
Grandes Quintas Colheita Tinto 2016,Portugal,Douro,Casa d'Arrochella,3.6,247,8.29,2016,Red,-33.1182775,-68.9167739
Chianti Classico 2014,Italy,Chianti Classico,Castello di Uzzano,3.7,247,17.29,2014,Red,43.5982124,11.3261828
Hermitage Monier de la Sizeranne 2014,France,Hermitage,M. Chapoutier,4.1,247,83.16,2014,Red,43.5982124,11.3261828
Periquita Tinto (Original) 2017,Portugal,Península de Setúbal,José Maria da Fonseca,3.6,2479,11.89,2017,Red,43.5982124,11.3261828
Estay Prieto Picudo 2015,Spain,Bierzo,Dominio Dostares,3.5,248,12.59,2015,Red,43.5982124,11.3261828
Bourgogne Pinot Noir (La Vignée) 2018,France,Bourgogne,Bouchard Père & Fils,3.6,248,16.39,2018,Red,43.5982124,11.3261828
Pomerol 2015,France,Pomerol,Château La Cabanne,3.9,248,47.77,2015,Red,43.5982124,11.3261828
Thalarn 2015,Spain,Costers del Segre,Castell d'Encus,4.0,248,37.95,2015,Red,42.2074131,0.8985974
Prugneto Sangiovese di Romagna (Superiore) 2018,Italy,Sangiovese di Romagna,Poderi dal Nespoli,3.6,248,8.97,2018,Red,44.0377762,11.9948152
Haut-Médoc 2012,France,Haut-Médoc,Château Victoria,3.8,248,15.2,2012,Red,45.24466899999999,-0.815265
Barolo Percristina 2006,Italy,Barolo,Domenico Clerico,4.5,248,111.55,2006,Red,45.24466899999999,-0.815265
